Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
12101C475KAT2A,"CAPACITOR CERAMIC, X7R, 4.7",AVX Corporation,25,,0.985,USD,Astute Electronics Inc.,LSQ
12101C475KAT2A,"CAPACITOR CERAMIC, X7R, 4.7",AVX Corporation,25,,0.985,USD,Astute Electronics Inc.,LSQ
12101C475KAT2A,"CAPACITOR CERAMIC, X7R, 4.7",AVX Corporation,21950,,0.20928,USD,Astute Electronics Inc.,QC INSPECT
12105C475MAT2A,CAP CER 4.7UF 50V X7R 1210,AVX Corporation,1242,"1914, 1840",,,Astute Electronics TAX Excess/Consignment,G07D03
12105C475MAT2A,CAP CER 4.7UF 50V X7R 1210,AVX Corporation,13000,2007,,,Astute Electronics TAX Excess/Consignment,G07D03
1210AC103KAZ1A,CAP CER 10000PF 1KV X7R 1210,AVX Corporation,18000,"2002, 1939",,,Astute Electronics TAX Excess/Consignment,G06B03
1210AC103KAZ1A,CAP CER 10000PF 1KV X7R 1210,AVX Corporation,1775,1911,,,Astute Electronics TAX Excess/Consignment,G06B03
1210AC222KAZ1A,CAP CER SMD,AVX Corporation,1938,1917,,,Astute Electronics TAX Excess/Consignment,G04E03
1210AC222KAZ1A,CAP CER SMD,AVX Corporation,2000,N/A,,,Astute Electronics TAX Excess/Consignment,G04E03
1210B104K101YT,"MLCC, 1210, X7R, 100KpF, 10%, 100V, Nick",Knowles Capacitors,9636,"1043, 1501, 1509",,,Astute Electronics GEA Excess/Consignment,G07E02
1210CC333KAZ1A,Multilayer Ceramic Capacitors MLCC - SMD,AVX Corporation,460,,,,Astute Electronics TAX Excess/Consignment,G04E03
1210GC222KAT1A,"CAP,X7R,2200pF,10%,2000V,1210",AVX Corporation,18000,,,,Astute Electronics Inc. ATX Excess,G03D02
121-14204-01-260,"TERM,PCB,PWR,W-INSULATOR,6-32,10P ROHS",Winchester Interconnect,4719,,5.5,USD,Astute Electronics Inc,QC INSPECT
125190182,Circuit Express Inc - 125190182,Circuit Express Inc,144,N/A,,,Astute Electronics GEA Excess/Consignment,G06D02
1287-ST,"MALE .250"" QUICK FIT TERMINAL ST",Keystone,5000,N/A,,,Astute Electronics TAX Excess/Consignment,G05D02
1287-ST,"MALE .250"" QUICK FIT TERMINAL ST",Keystone,773,N/A,,,Astute Electronics TAX Excess/Consignment,G05D02
12CWQ04FNTRPBF,DIODERECT,Vishay Dale,1996,1631,,,Astute Electronics GEA Excess/Consignment,G07B02
12CWQ04FNTRPBF,DIODERECT,Vishay Dale,7,,,,Astute Electronics GEA Excess/Consignment,G07B02
13-000121,"CONN, DSUB,7W2_M,PCB STRT,4-40",CONEC Elektronische Bauelemente GmbH,197,,,USD,Astute Electronics Inc. LAM STL,LAMSHELF.4.2
132291,Connector; RF; SMA Straight PCB Jack Thr,Amphenol RF,50,2345,,USD,Astute Electronics Inc. LAM STL,LAMBLK.3.7
1336G1,45A HORIZ. (BOT) RA LP CONTACT,Anderson Power,260,1847,,,Astute Electronics TAX Excess/Consignment,A01E01
1336G1,45A HORIZ. (BOT) RA LP CONTACT,Anderson Power,4137,1849,,,Astute Electronics TAX Excess/Consignment,A01D01
1336G1,45A HORIZ. (BOT) RA LP CONTACT,Anderson Power,2000,"1849, 1945",,,Astute Electronics TAX Excess/Consignment,A01E01
1399G2,SPACER KEY-LONG-RED,Anderson Power,5038,1743,,,Astute Electronics TAX Excess/Consignment,G06A03
1399G2,SPACER KEY-LONG-RED,Anderson Power,840,1819 1743,,,Astute Electronics TAX Excess/Consignment,G06A03
1399G9,PP10/45 MOUNTING WING RED,Anderson Power,7115,1722,,,Astute Electronics TAX Excess/Consignment,A01D01
1-400111-1,"Legend Material, Grey",Not Known Yet,375,,,,Astute Electronics GEA Excess/Consignment,G07D02
140-1028-02-01-00,Terminal,Cambion,1600,,,,Astute Electronics Inc. ATX Excess,G08E04
14040HS625MOD,14040HS625MOD,Accurate Screw,1015,,,,Astute Electronics Inc. ATX Excess,G05F02
1410-G110-L2F1-S01-4A,"CB,THRM,1P,4A,28 VDC,240 VAC,PCB MTG",E-T-A Engineering Technology,196,2349,,USD,Astute Electronics Inc. LAM STL,LAMBLK.14.8
1410-G110-L2F1-S01-6.3A,"CB,PC MT,6.3A",E-T-A Engineering Technology,50,2222,,USD,Astute Electronics Inc. LAM STL,LAMBLK.9.13
1410-L110-L1F1-S01-4A,(CE/C4) CKT BREAKER 250V 4A TH,E-T-A Elektrotechnische Apparate GmbH,523,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
1410-L110-L1F1-S01-6.3A,"CB,6.3A,1P,24V,2,PC MOUNT,THERMAL",E-T-A Engineering Technology,100,2312,,USD,Astute Electronics Inc. LAM STL,LAMBLK.9.12
1410-L110-L1F1-S01-8A,"CB,8A,PC MOUNT",E-T-A Engineering Technology,49,Inconclusive,,USD,Astute Electronics Inc. LAM STL,LAMBLK.11.19
142-0701-501,"CONN,COAX,SMA,RTANG,18GHZ,PCB MT, GOLD",Norcomp Inc,183,2352,4.3067,USD,Astute Electronics Inc. LAM 3PL,LAMBLK.2.9
1424241,"CONN,RCPT,M8,B,5P,STRAIGHT,THRU HOLE",Phoenix Contact,38,,12.88,USD,Astute Electronics Inc. LAM 3PL,LAMTY.7.7
1430-16-19T-0,1430-16-19T-0,Allied Wire,35.5,,0.4,USD,Astute Electronics Inc.,QC INSPECT
1430-16-19T-0,1430-16-19T-0,Allied Wire,100,,0.363,USD,Astute Electronics Inc.,F08A01
1430-16-19T-0,1430-16-19T-0,Allied Wire,200,,25.99,USD,Astute Electronics Inc.,F08A01
1430-16-19T-5,1430-16-19T-5,Allied Wire,35.5,,0.4,USD,Astute Electronics Inc.,QC INSPECT
1430-16-19T-5,1430-16-19T-5,Allied Wire,100,,0.363,USD,Astute Electronics Inc.,F08A01
1430-16-19T-5,1430-16-19T-5,Allied Wire,200,,25.99,USD,Astute Electronics Inc.,F08A01
1430-16-19T-9,1430-16-19T-9,Allied Wire,158,,25.99,USD,Astute Electronics Inc.,F08A01
14302019T0,1430-20-19T-0,Awc Wire,87.5,,,USD,Astute Electronics Inc. ATX Excess,G03A03
