Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,RPI4-MODBP-4GB,,Raspberry,83,,US2407230030001;LAMSHELF.2.1,,Inconclusive,,"MDL,ELEC,RASPBERRY PI 4,MDL B,4GB,IOC",,,,55,,
,RUEF400,,"Littelfuse, Inc.",412,,US2407150000042;LAMBLK.4.10,,2245,,"PTC,RUE SERIES 4.00A,ROHS",,,,0.245,,
,RUEF500,,"Littelfuse, Inc.",26,,US2407080000035;LAMBLK.3.4,,2338,,"PTC,RUE SERIES 5.00A,ROHS",,,,0.295,,
,RUEF900,,"Littelfuse, Inc.",194,,US2408010000034;LAMBLK.7.8,,11/30/23,,"FUSE,PTC,RUEF, 9.0A ROHS",,,,0.42,,
,S1751-46,,Harwin Plc,245,,US2601150000035;LAMBLK.14.3,,2514,,"TEST POINT PCB,SURFACE MT BRASS PURE TIN",,,,0.1187,,
,S1751-46,,Harwin Plc,5,,US2603040000057;QC INSPECT,,,,"TEST POINT PCB,SURFACE MT BRASS PURE TIN",,,,0.1853,,
,SMF150,,Voltage Multipliers Inc,20,,US2409230000041;LAMBLK.13.12,,2422,,"DIO,SMD,RECT,35V,10MA,15KV REV V",,,,11.34,,
,SMF150,,Voltage Multipliers Inc,50,,US2602160000011;LAMBLK.13.12,,,,"DIO,SMD,RECT,35V,10MA,15KV REV V",,,,11.49,,
,SMF26A,,"Littelfuse, Inc.",1540,,US2407170000007;LAM7.9.13,,2249,,"DIO,SMD,TVS,UNI-DIR,SMF,26V,ROHS",,,,0.08,,
,SN74AC14DR,,Texas Instruments,225,,US2601290000024;QC INSPECT,,,,Inverter Schmitt Trigger 6-Element CMOS,,,,0.19118,,
,SN74LVC1G74DCU,,Texas Instruments,20,,28217;LAMBLK.8.8,,2405,,"IC,SMD,SINGLE EDGE TRIG D FF",,,,0.373,,
,TAJC225K035RNJ,,Kemet Electronics Corp,383,,US2408140070001;LAM7.9.30,,2222,,"CAP,SMD,6032,TANT,10%,35V,2.2UF ROHS",,,,0.134,,
,TGHHV50R0JE,,Ohmite,90,,US2502130000011;LAMSHELF.2.3,,,,"RES,THK FILM,50 OHM,5%,120W,SOT227",,,,36.9488,,
,TGHHV50R0JE,,Ohmite,19,,US2407290000020;LAMSHELF.2.3,,2417,,"RES,THK FILM,50 OHM,5%,120W,SOT227",,,,36.39,,
,TGHLV150RJE,,Ohmite,31,,US2408120000028;LAMSHELF.3.1,,,,"RES,THK FILM,150 OHM,5%,200W,SOT227",,,,43.17,,
,TGHLV150RJE,,Ohmite,150,,US2505200000023;LAMSHELF.3.1,,,,"RES,THK FILM,150 OHM,5%,200W,SOT227",,,,40.8235,,
,TLR3APDTE4L00F50,,KOA Speer Electronics Inc,2000,,US2502030000007;LAM7.12.7,,2427,,"RES,SMD,0.004 OHM,±1%,5W,2512,50PPM",,,,0.41885,,
,TMP117AIYBGR,,Texas Instruments,70,,28265;LAMBLK.12.6,,2023,,"DIGITAL TEMP SENSOR,SMD,DSBGA6",,,,3.813,,
,TNPW080584K5BEEA,,Vishay,5000,,US2409240000018;LAM7.12.8,,2434,,"RES,SMD,0805,84.5K OHMS",,,,0.1188,,
,TPL7407LDR,,Texas Instruments,1750,,28230;LAM13.8.5,,2203,,"IC,SMD,LO-SIDE DRIVER,7CHAN,40V,SOIC-16",,,,0.13,,
,TPS7A8801RTJR,,Texas Instruments,239,,US2601190390001;LAMBLK.6.10,,,,"IC,SMD,V RGLTR,LDO,0.8-5VOUT,1A,20-WQFN",,,,2.4026,,
,Y14870R00500B9R,,VISHAY PRECISION GROUP INC,34,,US2408210200001;LAMBLK.14.7,,2347,,"RES,SMD,CUR SNS,0.005 OHM,0.1%,1W,2512",,,,15.5,,
,Z-14E,,Ohmite,69,,US2408130000013;LAMBLKB.6.3,,,,"INDUCTOR 44uH,ROHS",,,,10.9,,
